run_id,test_id,audio_file,category,model,backend,device,compute_type,vad_enabled,initial_prompt_enabled,is_first_request,audio_duration_seconds,transcription_seconds,real_time_factor,transcribed_text,wer,cer,full_audio_transcribed,final_sentence_present,company_names_correct,role_names_correct,important_fields_correct,hallucination_detected,speech_after_pauses_captured,observed_errors,notes
fw_small_fp16_vad_on_prompt_off__long_narrative_pauses_02,long_narrative_pauses_02,raw/long-narrative-pauses/2.wav,long-narrative-pauses,small,faster-whisper,cuda,float16,true,false,false,32.936687,0.635632,0.019299,"I applied for an AI engineer opportunity at Jordan AI, the job was posted through a living post. I sent my resume by email connected with employees followed up and engaged with the post. My next action is to ask for referrals.",0.307692,0.082609,,,,,,,,,
fw_small_fp16_vad_on_prompt_off__long_narratives_01,long_narratives_01,raw/long-narratives/1.wav,long-narratives,small,faster-whisper,cuda,float16,true,false,false,75.176687,2.550202,0.033923,"Today, I review my job application practical and check the status of several AI engineer applications. I applied for this executive AI in spirit internship at Analytics Media, and alert my resume supporters to the application connected with employees and colleagues with their posts. I was also the only person I had asked to hire to think carefully before asking for a pass. I also applied for an AI teacher opportunity at Aidan AI. The opening was posted only then that I sent my resume to email. I have already started asking for a pass. Another media priority opportunity is close to 7s consulting, where I ask for a connection for a pass and am waiting for other invitations to be affected. For jpeg viking and your view AI, my next step is to engage with posts and connection requests to it for a few days and then ask for a pass. I also applied to Rockwell Automation, where I ask for a future referral for applying. For now, my purpose is to follow up on media priority applications and I was spending too much time on rules requiring several years of experience.",0.403409,0.200368,,,,,,,,,
fw_small_fp16_vad_on_prompt_off__medium_narratives_01,medium_narratives_01,raw/medium-narratives/1.wav,medium-narratives,small,faster-whisper,cuda,float16,true,false,false,26.622000,0.727226,0.027317,"I applied for regenerating AI-Indian internship at Analytics with them. The role is on-site and the location is in Haryana. I tailored my resume, applied for the position, connected with employees and engaged with their posts. My current priority is to go because I need to think about the location before asking for referrals.",0.203704,0.082822,,,,,,,,,
fw_small_fp16_vad_on_prompt_off__medium_narratives_02,medium_narratives_02,raw/medium-narratives/2.wav,medium-narratives,small,faster-whisper,cuda,float16,true,false,false,24.062000,0.754550,0.031359,"I applied for an AI-Engineered Internship at Roost's Civil Cultural Team. The role is on-site and with current priorities meeting. At the end of my resume, I applied for the role, connected with employees, and engaged with their posts. I have passed one connection for a restaurant while the other connection request is for 1620.",0.423077,0.232704,,,,,,,,,
fw_small_fp16_vad_on_prompt_off__medium_narratives_03,medium_narratives_03,raw/medium-narratives/3.wav,medium-narratives,small,faster-whisper,cuda,float16,true,false,false,24.403312,0.632860,0.025933,I applied for an AI interior opportunity and I didn't AI though it was shared through unlimited tools. I sent my resume by email connected with an invoice to follow up and started engaging with the tool. My next action is to ask for referrals.,0.418605,0.222222,,,,,,,,,
fw_small_fp16_vad_on_prompt_off__medium_narratives_04,medium_narratives_04,raw/medium-narratives/4.wav,medium-narratives,small,faster-whisper,cuda,float16,true,false,false,24.744688,0.643024,0.025986,"I applied for an AI engineer internship at CHIC Curve IT, the rule is removed and my current priority is video. I tailored my resume and submitted the application. My next action is to engage with posts, extend connection requests, wait for a few days and then pass for referrals.",0.187500,0.080292,,,,,,,,,
fw_small_fp16_vad_on_prompt_off__natural_voice_01,natural_voice_01,raw/natural-voice/1.wav,natural-voice,small,faster-whisper,cuda,float16,true,false,false,20.862000,0.659730,0.031624,"I applied to Good Holding Private Limited for an AI Engineer internship. I connected with one person on LinkedIn, but my invitation has not been accepted at all. My current priority is Medium. The next step is to wait for the request to be accepted before that. Follow you now.",0.195652,0.101887,,,,,,,,,
fw_small_fp16_vad_on_prompt_off__natural_voice_02,natural_voice_02,raw/natural-voice/2.wav,natural-voice,small,faster-whisper,cuda,float16,true,false,false,17.747312,0.589124,0.033195,"I applied this in a serious interaction for a computer which is an in-senior internship. I could not find a new link page for the company, so my next step is to check whether a code in my address is available.",0.400000,0.231959,,,,,,,,,
fw_small_fp16_vad_on_prompt_off__natural_voice_03,natural_voice_03,raw/natural-voice/3.wav,natural-voice,small,faster-whisper,cuda,float16,true,false,false,24.830000,0.706529,0.028455,"I applied to pick his data solutions privately instead of for an eight-year period rule. The job requires more than six years of experience, so I do not expect to be shortlisted for the exact rule. However, after engaging with the company for a while, I may ask whether there are any juniors, juniors, or internship opportunities.",0.236364,0.143312,,,,,,,,,
fw_small_fp16_vad_on_prompt_off__natural_voice_04,natural_voice_04,raw/natural-voice/4.wav,natural-voice,small,faster-whisper,cuda,float16,true,false,false,21.672687,0.643014,0.029669,"I received a rejection from the support of the authorities through Indian. Since the company does not appear to have a dedicated hiring team, I reached out to the chief executive officer. I have received a follow-up message and will send it after the connection request is accepted.",0.155556,0.084249,,,,,,,,,
fw_small_fp16_vad_on_prompt_off__role_jobtype_01,role_jobtype_01,raw/role-jobtype/1.wav,role-jobtype,small,faster-whisper,cuda,float16,true,false,false,12.755313,0.360589,0.028270,I applied for the Generative AI Engineer Internship at Analytics with you.,0.181818,0.069444,,,,,,,,,
fw_small_fp16_vad_on_prompt_off__role_jobtype_02,role_jobtype_02,raw/role-jobtype/2.wav,role-jobtype,small,faster-whisper,cuda,float16,true,false,false,12.072625,0.351308,0.029100,I applaud for the possible provision in Junior Internships at SNS International.,0.636364,0.253333,,,,,,,,,
fw_small_fp16_vad_on_prompt_off__role_jobtype_03,role_jobtype_03,raw/role-jobtype/3.wav,role-jobtype,small,faster-whisper,cuda,float16,true,false,false,12.286000,0.353968,0.028811,I applied for the top engineer internship at MWARC AI.,0.200000,0.166667,,,,,,,,,
fw_small_fp16_vad_on_prompt_off__role_jobtype_04,role_jobtype_04,raw/role-jobtype/4.wav,role-jobtype,small,faster-whisper,cuda,float16,true,false,false,8.872687,0.345506,0.038940,I applied for a full-time junior AI engineer school for digital action only.,0.454545,0.272727,,,,,,,,,
fw_small_fp16_vad_on_prompt_off__role_jobtype_05,role_jobtype_05,raw/role-jobtype/5.wav,role-jobtype,small,faster-whisper,cuda,float16,true,false,false,13.950000,0.383320,0.027478,"I applied for graduate, engineer training, and peer engineer opportunities at Rockwell Automation.",0.230769,0.096774,,,,,,,,,
fw_small_fp16_vad_on_prompt_off__role_jobtype_06,role_jobtype_06,raw/role-jobtype/6.wav,role-jobtype,small,faster-whisper,cuda,float16,true,false,false,11.432625,0.333672,0.029186,I applied for platform giving a total net data annotation.,0.777778,0.288136,,,,,,,,,
fw_small_fp16_vad_on_prompt_off__short_01,short_01,raw/short/1.wav,short,small,faster-whisper,cuda,float16,true,false,false,10.664687,1.144008,0.107271,for the AI engineer role.,0.615385,0.705882,,,,,,,,,
fw_small_fp16_vad_on_prompt_off__short_02,short_02,raw/short/2.wav,short,small,faster-whisper,cuda,float16,true,false,false,11.006000,0.321198,0.029184,"Mark, please support soft control on this application as we get there.",1.428571,0.448276,,,,,,,,,
fw_small_fp16_vad_on_prompt_off__short_03,short_03,raw/short/3.wav,short,small,faster-whisper,cuda,float16,true,false,false,10.707313,0.324383,0.030295,Set the priority of hostel 7 consulting application to medium.,0.272727,0.154930,,,,,,,,,
fw_small_fp16_vad_on_prompt_off__short_04,short_04,raw/short/4.wav,short,small,faster-whisper,cuda,float16,true,false,false,13.694000,0.354357,0.025877,Update the current stage for IDEM AI to Applied Network for lots of time engaged.,0.500000,0.209302,,,,,,,,,
fw_small_fp16_vad_on_prompt_off__short_05,short_05,raw/short/5.wav,short,small,faster-whisper,cuda,float16,true,false,false,12.030000,0.367006,0.030508,Add a node for Rockwell Automation saying that I will receive a referral before applying.,0.214286,0.082353,,,,,,,,,
fw_small_fp16_vad_on_prompt_off__short_06,short_06,raw/short/6.wav,short,small,faster-whisper,cuda,float16,true,false,false,11.816688,0.391438,0.033126,Set the next action for its use international to check whether a full-debate address is available.,0.250000,0.139785,,,,,,,,,
fw_small_fp16_vad_on_prompt_on__company_01,company_01,raw/company/1.wav,company,small,faster-whisper,cuda,float16,true,true,true,12.840687,0.656177,0.051101,I applied to bootcoding private limitedosphere international densys technologies and analytics vidhya,0.461538,0.117647,,,,,,,,,
fw_small_fp16_vad_on_prompt_on__company_02,company_02,raw/company/2.wav,company,small,faster-whisper,cuda,float16,true,true,false,15.870000,0.474609,0.029906,"I am tracking opportunities at first to seven consultants in extrabit technologies private limited, inverse AI and idle AI.",0.470588,0.162602,,,,,,,,,
fw_small_fp16_vad_on_prompt_on__company_03,company_03,raw/company/3.wav,company,small,faster-whisper,cuda,float16,true,true,false,14.547313,0.427055,0.029356,I applied two ideas to impact the CI-40 Technolab supportsoft technologies and stratacenter.,0.538462,0.172043,,,,,,,,,
fw_small_fp16_vad_on_prompt_on__company_04,company_04,raw/company/4.wav,company,small,faster-whisper,cuda,float16,true,true,false,18.174000,0.523769,0.028820,"I am also tracking some fake solutions, pieces, data, solutions, private limited, J-CurveIQ and LurelioAI, formerly known as HelioAI.",0.500000,0.173228,,,,,,,,,
fw_small_fp16_vad_on_prompt_on__company_05,company_05,raw/company/5.wav,company,small,faster-whisper,cuda,float16,true,true,false,18.472625,0.515644,0.027914,"Author Applications Inclusive on Varyficient Technologies, Digital Let's Load, InEquala, Data Annotation, Rockwell Automation, Peek in Technologies Solutions",0.933333,0.256579,,,,,,,,,
fw_small_fp16_vad_on_prompt_on__difficult_company_mix_vocab_01,difficult_company_mix_vocab_01,raw/difficult-company-mix-vocab/1.wav,difficult-company-mix-vocab,small,faster-whisper,cuda,float16,true,true,false,18.302000,0.562634,0.030742,I am tracking applications at extra-big technologies private limited DC's data solutions private limited very efficient technologies and big-grade technologies to move to the next,0.700000,0.246988,,,,,,,,,
fw_small_fp16_vad_on_prompt_on__difficult_company_mix_vocab_02,difficult_company_mix_vocab_02,raw/difficult-company-mix-vocab/2.wav,difficult-company-mix-vocab,small,faster-whisper,cuda,float16,true,true,false,13.736688,0.440925,0.032098,"I applied to check your IQ, your new AI, formerly known as new AI, Digital X node, and Inipola.",0.714286,0.224719,,,,,,,,,
fw_small_fp16_vad_on_prompt_on__difficult_company_mix_vocab_03,difficult_company_mix_vocab_03,raw/difficult-company-mix-vocab/3.wav,difficult-company-mix-vocab,small,faster-whisper,cuda,float16,true,true,false,13.438000,0.471475,0.035085,I applied the rules at bootcoding private limited postal seven consulting ideas to impact textbooks of technologies.,0.470588,0.177419,,,,,,,,,
fw_small_fp16_vad_on_prompt_on__long_narrative_pauses_01,long_narrative_pauses_01,raw/long-narrative-pauses/1.wav,long-narrative-pauses,small,faster-whisper,cuda,float16,true,true,false,45.139313,0.649042,0.014379,"I applied for the generating AI engineer before asking for referralss, I need to decide whether the location is suitable for me. My current priority for this application is to",0.534483,0.531507,,,,,,,,,
fw_small_fp16_vad_on_prompt_on__long_narrative_pauses_02,long_narrative_pauses_02,raw/long-narrative-pauses/2.wav,long-narrative-pauses,small,faster-whisper,cuda,float16,true,true,false,32.936687,0.684260,0.020775,I applied for an AI engineer opportunity at Aiden AI. The job was posted through a living post. I sent my resume by email connected with employees followed up and engaged with the post. My next action is to ask for referralss.,0.307692,0.065217,,,,,,,,,
fw_small_fp16_vad_on_prompt_on__long_narratives_01,long_narratives_01,raw/long-narratives/1.wav,long-narratives,small,faster-whisper,cuda,float16,true,true,false,75.176687,2.605286,0.034655,"Today I review my job application practical and check the status of several AI engineer applications. I applied for this executive AI internship at Analytics Vidhya, and alerted my resume subscribers application connected with employees and colleagues to their posts. I was also the only person I had asked to hire to think carefully before asking for a file. I also applied for an artificial opportunity at Aiden AI. The opening was posted on Aiden AI and I sent my resume to email. I have already started asking for a file. Another video prior to opportunity is Coastal Seven Consulting, where I ask for a connection for a file and am waiting for other invitations to be accepted. For jaker viking and your new AI, my next step is to engage with posts and connection requests to it for a few days and then ask for a file. I also applied to Rockwell Automation, where I ask the user referrals before applying. For now, my purpose is to follow up on million priority applications and I was spending too much time on rules requiring certain years of experience.",0.380682,0.191176,,,,,,,,,
fw_small_fp16_vad_on_prompt_on__medium_narratives_01,medium_narratives_01,raw/medium-narratives/1.wav,medium-narratives,small,faster-whisper,cuda,float16,true,true,false,26.622000,0.825377,0.031004,"I applied for the generating AI engineer internship at Analytics Vidhya. The role is on-site, and the location is in Haryana. I tailored my resume, applied for the position, connected with employees, and engaged with their posts. My current priority is low because I need to think about the location before asking for referrals.",0.037037,0.012270,,,,,,,,,
fw_small_fp16_vad_on_prompt_on__medium_narratives_02,medium_narratives_02,raw/medium-narratives/2.wav,medium-narratives,small,faster-whisper,cuda,float16,true,true,false,24.062000,0.772338,0.032098,"I applied for an AI engineer internship at BootS to Seven Consulting. The role is on-site and with current priorities meeting. At the end of my resume, I applied for the role, connected with employees, and engaged with their posts. I passed one connection for a restaurant, while the other connection request was for 16 pending.",0.326923,0.154088,,,,,,,,,
fw_small_fp16_vad_on_prompt_on__medium_narratives_03,medium_narratives_03,raw/medium-narratives/3.wav,medium-narratives,small,faster-whisper,cuda,float16,true,true,false,24.403312,0.692048,0.028359,I applied for an AI interior opportunity at AIDAN AI though it was shared through an email post. I sent my resume by email connected with an invoice to follow-up and started engaging with the two. My next action is to ask for referralss.,0.348837,0.189300,,,,,,,,,
fw_small_fp16_vad_on_prompt_on__medium_narratives_04,medium_narratives_04,raw/medium-narratives/4.wav,medium-narratives,small,faster-whisper,cuda,float16,true,true,false,24.744688,0.756662,0.030579,"I applied for an AI Engineer internship at CHICCURVE-IQ. The rule is removed and my current priority is Vidhya. I tailored my resume and submitted the application. My next action is to engage with posts, extend connection requests, wait for a few days and then pass for referrals.",0.145833,0.069343,,,,,,,,,
fw_small_fp16_vad_on_prompt_on__natural_voice_01,natural_voice_01,raw/natural-voice/1.wav,natural-voice,small,faster-whisper,cuda,float16,true,true,false,20.862000,0.776487,0.037220,"I applied to bootcoding private limited for an AI engineer internship. I connected with one person on LinkedIn, but my invitation has not been accepted at all. My current priority is Medium. The next step is to wait for the request to be accepted before that. Follow you now.",0.152174,0.083019,,,,,,,,,
fw_small_fp16_vad_on_prompt_on__natural_voice_02,natural_voice_02,raw/natural-voice/2.wav,natural-voice,small,faster-whisper,cuda,float16,true,true,false,17.747312,0.632679,0.035649,"I applied it in the SVS interaction for a computer which is an engineer internship. I could not find a new link page for the company, so my next step is to check whether a code in my address is available.",0.342857,0.175258,,,,,,,,,
fw_small_fp16_vad_on_prompt_on__natural_voice_03,natural_voice_03,raw/natural-voice/3.wav,natural-voice,small,faster-whisper,cuda,float16,true,true,false,24.830000,0.818817,0.032977,"I applied to pick his data solutions private instead of warranted experience in the role. The job requires more than six years of experience, so I do not expect to be shortlisted for the exact role. However, after engaging with the company for a while, I may ask whether there are any juniors in their thought internship opportunities.",0.254545,0.152866,,,,,,,,,
fw_small_fp16_vad_on_prompt_on__natural_voice_04,natural_voice_04,raw/natural-voice/4.wav,natural-voice,small,faster-whisper,cuda,float16,true,true,false,21.672687,0.680540,0.031401,"I received a rejection from Supports of technologies through engine. Since the company does not appear to have a dedicated hiring team that reached out to the chief ethical officer, I have saved a follow-up message and will send it after the connection request is accepted.",0.155556,0.076923,,,,,,,,,
fw_small_fp16_vad_on_prompt_on__role_jobtype_01,role_jobtype_01,raw/role-jobtype/1.wav,role-jobtype,small,faster-whisper,cuda,float16,true,true,false,12.755313,0.382779,0.030009,I applied for the Generative AI Engineer internship at Analytics Vidhya,0.090909,0.013889,,,,,,,,,
fw_small_fp16_vad_on_prompt_on__role_jobtype_02,role_jobtype_02,raw/role-jobtype/2.wav,role-jobtype,small,faster-whisper,cuda,float16,true,true,false,12.072625,0.361019,0.029904,I applied for the possible provision engineer internship at SNES International,0.363636,0.160000,,,,,,,,,
fw_small_fp16_vad_on_prompt_on__role_jobtype_03,role_jobtype_03,raw/role-jobtype/3.wav,role-jobtype,small,faster-whisper,cuda,float16,true,true,false,12.286000,0.336001,0.027348,I applied for the top engineer internship at Inverse AI,0.300000,0.116667,,,,,,,,,
fw_small_fp16_vad_on_prompt_on__role_jobtype_04,role_jobtype_04,raw/role-jobtype/4.wav,role-jobtype,small,faster-whisper,cuda,float16,true,true,false,8.872687,0.362675,0.040875,I applied for a full-time junior AI engineer school for digital action only.,0.454545,0.272727,,,,,,,,,
fw_small_fp16_vad_on_prompt_on__role_jobtype_05,role_jobtype_05,raw/role-jobtype/5.wav,role-jobtype,small,faster-whisper,cuda,float16,true,true,false,13.950000,0.414246,0.029695,"I applied for graduate, engineer trainee, and AI Engineer Opportunities natural rockwell automation",0.307692,0.086022,,,,,,,,,
fw_small_fp16_vad_on_prompt_on__role_jobtype_06,role_jobtype_06,raw/role-jobtype/6.wav,role-jobtype,small,faster-whisper,cuda,float16,true,true,false,11.432625,0.378139,0.033075,I applied for platform giving a total net data annotation,0.777778,0.305085,,,,,,,,,
fw_small_fp16_vad_on_prompt_on__short_01,short_01,raw/short/1.wav,short,small,faster-whisper,cuda,float16,true,true,false,10.664687,1.253926,0.117577,suitecoding Private LimitedaddinSVS Appliance for the AI engineer role,0.615385,0.317647,,,,,,,,,
fw_small_fp16_vad_on_prompt_on__short_02,short_02,raw/short/2.wav,short,small,faster-whisper,cuda,float16,true,true,false,11.006000,0.369663,0.033587,"Mark, please support soft control on this application as we get there.",1.428571,0.448276,,,,,,,,,
fw_small_fp16_vad_on_prompt_on__short_03,short_03,raw/short/3.wav,short,small,faster-whisper,cuda,float16,true,true,false,10.707313,0.355803,0.033230,set the priority of hostel seven consulting application to medium,0.272727,0.098592,,,,,,,,,
fw_small_fp16_vad_on_prompt_on__short_04,short_04,raw/short/4.wav,short,small,faster-whisper,cuda,float16,true,true,false,13.694000,0.390175,0.028492,Update the current stage for Aiden AI to Applied Network Followed Up and Engaged,0.285714,0.069767,,,,,,,,,
fw_small_fp16_vad_on_prompt_on__short_05,short_05,raw/short/5.wav,short,small,faster-whisper,cuda,float16,true,true,false,12.030000,0.384321,0.031947,add a note for Rockwell Automation saying that I'll receive a referral before applying,0.214286,0.058824,,,,,,,,,
fw_small_fp16_vad_on_prompt_on__short_06,short_06,raw/short/6.wav,short,small,faster-whisper,cuda,float16,true,true,false,11.816688,0.445055,0.037663,set the next action for a serious interaction to check whether a full-developed address is available,0.375000,0.247312,,,,,,,,,
fw_small_fp16_vad_off_prompt_off__company_01,company_01,raw/company/1.wav,company,small,faster-whisper,cuda,float16,false,false,true,12.840687,0.627821,0.048893,"I applied to boot 4D Private Limited, ESP, International, Jhansi, Technology and Analytics with them.",0.538462,0.225490,,,,,,,,,
fw_small_fp16_vad_off_prompt_off__company_02,company_02,raw/company/2.wav,company,small,faster-whisper,cuda,float16,false,false,false,15.870000,0.631612,0.039799,"I am tracking opportunities at full 2.7 consultants, extra with technology's private limited,",0.647059,0.398374,,,,,,,,,
fw_small_fp16_vad_off_prompt_off__company_03,company_03,raw/company/3.wav,company,small,faster-whisper,cuda,float16,false,false,false,14.547313,0.333126,0.022899,I applied two ideas to impact the CI-40 Technolab support for technologies and stratosphere.,0.692308,0.258065,,,,,,,,,
fw_small_fp16_vad_off_prompt_off__company_04,company_04,raw/company/4.wav,company,small,faster-whisper,cuda,float16,false,false,false,18.174000,0.514342,0.028301,"I am also tracking some fixed solutions, specific data solutions, private limited, J-Curve I2 and URLEO AI, formerly known as KLEO AI.",0.400000,0.204724,,,,,,,,,
fw_small_fp16_vad_off_prompt_off__company_05,company_05,raw/company/5.wav,company,small,faster-whisper,cuda,float16,false,false,false,18.472625,0.470784,0.025485,"Other applications include Tevon, Varyficient Technologies, Digital Networks, InEquala, Data Annotation, Rockwell Automation, and Peekline Technology Solutions.",0.533333,0.144737,,,,,,,,,
fw_small_fp16_vad_off_prompt_off__difficult_company_mix_vocab_01,difficult_company_mix_vocab_01,raw/difficult-company-mix-vocab/1.wav,difficult-company-mix-vocab,small,faster-whisper,cuda,float16,false,false,false,18.302000,0.437871,0.023925,"I am tracking applications at extra base technologies private limited, DC's data solutions private limited, very efficient technologies and big-grade technologies to make sure.",0.550000,0.210843,,,,,,,,,
fw_small_fp16_vad_off_prompt_off__difficult_company_mix_vocab_02,difficult_company_mix_vocab_02,raw/difficult-company-mix-vocab/2.wav,difficult-company-mix-vocab,small,faster-whisper,cuda,float16,false,false,false,13.736688,0.365173,0.026584,"I applied to take your YQ, your new AI, formerly known as new AI, Digital X node, and Inicola.",0.714286,0.235955,,,,,,,,,
fw_small_fp16_vad_off_prompt_off__difficult_company_mix_vocab_03,difficult_company_mix_vocab_03,raw/difficult-company-mix-vocab/3.wav,difficult-company-mix-vocab,small,faster-whisper,cuda,float16,false,false,false,13.438000,0.354405,0.026373,"I applied for roles at Group Coding Priority Method, Postal 7 Consulting, Ideas to Impact, and Supports of Technologies.",0.529412,0.193548,,,,,,,,,
fw_small_fp16_vad_off_prompt_off__long_narrative_pauses_01,long_narrative_pauses_01,raw/long-narrative-pauses/1.wav,long-narrative-pauses,small,faster-whisper,cuda,float16,false,false,false,45.139313,0.979658,0.021703,"I applied for the foundation, AI is in the return shift, but can not excuse you. The role is on site and the location is in Haryana. A tailor of marriage who may submit the application connected with employers and engaged with their food. Before asking for referrals, I need to decide whether the location is suitable for me. My current priority for this application is to go.",0.448276,0.194521,,,,,,,,,
fw_small_fp16_vad_off_prompt_off__long_narrative_pauses_02,long_narrative_pauses_02,raw/long-narrative-pauses/2.wav,long-narrative-pauses,small,faster-whisper,cuda,float16,false,false,false,32.936687,0.703202,0.021350,"I applied for an AI engineer opportunity at Jordan AI, the job was posted through a living post. I sent my resume by email connected with employees followed up and engaged with the post. My next action is to ask for a false.",0.358974,0.108696,,,,,,,,,
fw_small_fp16_vad_off_prompt_off__long_narratives_01,long_narratives_01,raw/long-narratives/1.wav,long-narratives,small,faster-whisper,cuda,float16,false,false,false,75.176687,2.311441,0.030747,"Today, I reviewed my job application trackable and checked the status of several AI engineer applications. I applied for the Executive AI Institute internship at Analytics Studio and alerted my resume supported application connected with employees and colleagues to their posts. I was also the only person I had asked to hire to think carefully before asking for a file. I also applied for an Executive Opportunity at Eden AI. The opening was posted only in the absent my resume through email. I have already started asking for a file. Another immediate priority of opportunity is close to 7th consulting, where I ask for a connection for a file and am waiting for other invitations to be accepted. For jpeg viking and URU AI, my next step is to engage with posts and connection requests to it for a few days and then ask for appeals. I also applied to Rockwell Automation, where I ask the user for a file before applying. For now, my purpose is to follow up on medium-priority applications and I was spending too much time on Roots requiring a certain amount of experience.",0.397727,0.203125,,,,,,,,,
fw_small_fp16_vad_off_prompt_off__medium_narratives_01,medium_narratives_01,raw/medium-narratives/1.wav,medium-narratives,small,faster-whisper,cuda,float16,false,false,false,26.622000,0.717258,0.026942,"I applied for the generating AI-Indian internship at Analytics with them, the role is on site and the location is in Haryana. I tailored my resume, applied for the position, connected with employees and engaged with their posts. My current priority is because I need to think about the location before asking for referrals.",0.185185,0.079755,,,,,,,,,
fw_small_fp16_vad_off_prompt_off__medium_narratives_02,medium_narratives_02,raw/medium-narratives/2.wav,medium-narratives,small,faster-whisper,cuda,float16,false,false,false,24.062000,0.678417,0.028195,"I applied for an AI-engineered internship at the U.S. Supreme Council team. The role is on-site and the current priority is meeting. I took up my resume, applied for the role, connected with employees, and engaged with their posts. I have asked one connection for a restaurant while the other connection requests are $15.20.",0.307692,0.194969,,,,,,,,,
fw_small_fp16_vad_off_prompt_off__medium_narratives_03,medium_narratives_03,raw/medium-narratives/3.wav,medium-narratives,small,faster-whisper,cuda,float16,false,false,false,24.403312,0.652566,0.026741,"I applied for an AI interior opportunity at Eid al-Qaida, I do what she does with unlimited tools. I sent my resume by email, connected with an invoice, followed up, and started engaging with the tool. My next action is to ask for referrals.",0.348837,0.238683,,,,,,,,,
fw_small_fp16_vad_off_prompt_off__medium_narratives_04,medium_narratives_04,raw/medium-narratives/4.wav,medium-narratives,small,faster-whisper,cuda,float16,false,false,false,24.744688,0.632040,0.025542,"I applied for NKI Engineer internship at Chikur Pikey, the route is removed and my current priority is video. I tailored my resume and submitted the application. My next action is to engage with posts, extend connection requests, wait for few days and then pass for referrals.",0.229167,0.109489,,,,,,,,,
fw_small_fp16_vad_off_prompt_off__natural_voice_01,natural_voice_01,raw/natural-voice/1.wav,natural-voice,small,faster-whisper,cuda,float16,false,false,false,20.862000,0.627557,0.030081,"I applied to Good Holding Private Limited for an AI Engineer internship. I connected with one person on LinkedIn, but my invitation has not been accepted at all. My current priority is medium. The next step is to wait for the request to be accepted before that. Follow you now.",0.195652,0.101887,,,,,,,,,
